[2026-04-22T08:11:37.790Z] POST /api/auth/login | IP: ::1
[2026-04-22T08:16:20.726Z] POST /api/auth/login | IP: ::1
[2026-04-22T08:16:31.484Z] POST /api/auth/login | IP: ::1
[2026-04-22T08:21:18.932Z] POST /api/auth/login | IP: ::1
[2026-04-22T08:21:35.527Z] POST /api/auth/login | IP: ::1
[2026-04-22T09:13:21.392Z] POST /api/auth/login | IP: ::1
[2026-04-22T09:13:21.850Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T09:13:21.856Z] GET /api/dashboard | IP: ::1
[2026-04-22T09:13:21.861Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T09:13:21.865Z] GET /api/dashboard | IP: ::1
[2026-04-22T09:13:30.416Z] GET /api/dashboard | IP: ::1
[2026-04-22T09:13:30.424Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T09:13:30.429Z] GET /api/dashboard | IP: ::1
[2026-04-22T09:13:30.436Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T09:13:31.441Z] GET /api/dashboard | IP: ::1
[2026-04-22T09:13:31.444Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T09:13:31.447Z] GET /api/dashboard | IP: ::1
[2026-04-22T09:13:31.452Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T09:13:32.252Z] GET /api/dashboard | IP: ::1
[2026-04-22T09:13:32.257Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T09:13:32.259Z] GET /api/dashboard | IP: ::1
[2026-04-22T09:13:32.262Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T09:13:33.274Z] GET /api/dashboard | IP: ::1
[2026-04-22T09:13:33.286Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T09:13:33.289Z] GET /api/dashboard | IP: ::1
[2026-04-22T09:13:33.293Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T09:13:38.473Z] GET /api/admin/users/search?q=220 | IP: ::1
[2026-04-22T09:13:38.666Z] GET /api/admin/users/search?q=2203 | IP: ::1
[2026-04-22T09:13:38.902Z] GET /api/admin/users/search?q=22030 | IP: ::1
[2026-04-22T09:13:39.100Z] GET /api/admin/users/search?q=220302 | IP: ::1
[2026-04-22T09:13:40.121Z] GET /api/admin/users/search?q=22030 | IP: ::1
[2026-04-22T09:15:08.841Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T09:15:08.843Z] GET /api/dashboard | IP: ::1
[2026-04-22T09:17:45.552Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T09:17:45.555Z] GET /api/dashboard | IP: ::1
[2026-04-22T09:17:45.559Z] GET /api/dashboard | IP: ::1
[2026-04-22T09:17:45.560Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T09:19:10.196Z] POST /api/auth/login | IP: ::1
[2026-04-22T09:19:11.274Z] GET /api/dashboard | IP: ::1
[2026-04-22T09:19:11.280Z] GET /api/dashboard | IP: ::1
[2026-04-22T09:19:32.744Z] GET /api/dashboard | IP: ::1
[2026-04-22T09:19:32.748Z] GET /api/dashboard | IP: ::1
[2026-04-22T09:19:37.527Z] GET /api/academics/timetable | IP: ::1
[2026-04-22T09:19:37.534Z] GET /api/academics/timetable | IP: ::1
[2026-04-22T09:19:38.819Z] GET /api/academics/calendar | IP: ::1
[2026-04-22T09:19:38.822Z] GET /api/academics/calendar | IP: ::1
[2026-04-22T09:19:39.752Z] GET /api/academics/subjects | IP: ::1
[2026-04-22T09:19:39.755Z] GET /api/academics/subjects | IP: ::1
[2026-04-22T09:19:40.922Z] GET /api/advanced/exams/results | IP: ::1
[2026-04-22T09:19:40.925Z] GET /api/advanced/exams/results | IP: ::1
[2026-04-22T09:19:41.776Z] GET /api/advanced/placements | IP: ::1
[2026-04-22T09:19:41.780Z] GET /api/advanced/placements | IP: ::1
[2026-04-22T09:19:45.368Z] GET /api/dashboard | IP: ::1
[2026-04-22T09:19:45.372Z] GET /api/dashboard | IP: ::1
[2026-04-22T09:23:29.790Z] GET /api/dashboard | IP: ::1
[2026-04-22T09:23:29.796Z] GET /api/dashboard | IP: ::1
[2026-04-22T09:24:08.178Z] PUT /api/profile | IP: ::1
[2026-04-22T09:24:08.376Z] PUT /api/profile | IP: ::1
[2026-04-22T09:24:09.568Z] PUT /api/profile | IP: ::1
[2026-04-22T09:24:10.588Z] PUT /api/profile | IP: ::1
[2026-04-22T09:24:16.566Z] PUT /api/profile | IP: ::1
[2026-04-22T09:24:17.922Z] PUT /api/profile | IP: ::1
[2026-04-22T09:24:37.117Z] PUT /api/profile | IP: ::1
[2026-04-22T09:28:45.333Z] PUT /api/profile | IP: ::1
[2026-04-22T09:28:46.866Z] PUT /api/profile | IP: ::1
[2026-04-22T09:28:47.782Z] PUT /api/profile | IP: ::1
[2026-04-22T09:28:47.883Z] PUT /api/profile | IP: ::1
[2026-04-22T09:28:48.326Z] PUT /api/profile | IP: ::1
[2026-04-22T09:29:21.267Z] GET /api/dashboard | IP: ::1
[2026-04-22T09:29:21.270Z] GET /api/dashboard | IP: ::1
[2026-04-22T09:30:24.358Z] GET /api/dashboard | IP: ::1
[2026-04-22T09:30:24.364Z] GET /api/dashboard | IP: ::1
[2026-04-22T09:30:47.155Z] PUT /api/profile | IP: ::1
[2026-04-22T09:32:24.607Z] GET /api/dashboard | IP: ::1
[2026-04-22T09:32:24.612Z] GET /api/dashboard | IP: ::1
[2026-04-22T09:33:08.799Z] POST /api/auth/login | IP: ::1
[2026-04-22T09:33:09.238Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T09:33:09.240Z] GET /api/dashboard | IP: ::1
[2026-04-22T09:33:09.243Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T09:33:09.245Z] GET /api/dashboard | IP: ::1
[2026-04-22T09:33:13.694Z] GET /api/dashboard | IP: ::1
[2026-04-22T09:33:13.699Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T09:33:13.700Z] GET /api/dashboard | IP: ::1
[2026-04-22T09:33:13.702Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T09:37:02.623Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T09:37:02.625Z] GET /api/dashboard | IP: ::1
[2026-04-22T09:37:02.641Z] GET /api/dashboard | IP: ::1
[2026-04-22T09:37:02.648Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T09:38:27.604Z] GET /api/admin/users/search?q= | IP: ::1
[2026-04-22T09:38:27.608Z] GET /api/admin/users/search?q= | IP: ::1
[2026-04-22T09:38:31.003Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T09:38:31.005Z] GET /api/dashboard | IP: ::1
[2026-04-22T09:38:31.006Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T09:38:31.008Z] GET /api/dashboard | IP: ::1
[2026-04-22T09:38:32.277Z] GET /api/admin/users/search?q= | IP: ::1
[2026-04-22T09:38:32.281Z] GET /api/admin/users/search?q= | IP: ::1
[2026-04-22T09:40:47.964Z] GET /api/admin/users/search?q= | IP: ::1
[2026-04-22T10:03:42.705Z] POST /api/auth/login | IP: ::1
[2026-04-22T10:03:43.012Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:03:43.014Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:03:43.017Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:03:43.019Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:03:50.428Z] GET /api/admin/users/search?q= | IP: ::1
[2026-04-22T10:03:50.432Z] GET /api/admin/users/search?q= | IP: ::1
[2026-04-22T10:05:23.102Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:05:23.105Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:05:23.112Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:05:23.113Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:05:32.568Z] GET /api/admin/users/search?q= | IP: ::1
[2026-04-22T10:05:32.570Z] GET /api/admin/users/search?q= | IP: ::1
[2026-04-22T10:06:04.996Z] POST /api/auth/login | IP: ::1
[2026-04-22T10:06:05.381Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:06:05.383Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:06:05.384Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:06:05.389Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:06:08.698Z] GET /api/admin/users/search?q= | IP: ::1
[2026-04-22T10:06:08.701Z] GET /api/admin/users/search?q= | IP: ::1
[2026-04-22T10:06:19.444Z] GET /api/admin/export-users | IP: ::1
[2026-04-22T10:09:23.508Z] GET /api/admin/users/search?q= | IP: ::1
[2026-04-22T10:09:23.521Z] GET /api/admin/users/search?q= | IP: ::1
[2026-04-22T10:10:10.680Z] POST /api/auth/logout | IP: ::1
[2026-04-22T10:10:29.988Z] POST /api/auth/login | IP: ::1
[2026-04-22T10:10:55.874Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:10:55.879Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:10:59.951Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:11:03.260Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:11:17.517Z] GET /api/admin/users/search?q= | IP: ::1
[2026-04-22T10:11:17.587Z] GET /api/admin/users/search?q= | IP: ::1
[2026-04-22T10:11:22.691Z] GET /api/admin/export-users | IP: ::1
[2026-04-22T10:11:22.914Z] GET /api/admin/export-users | IP: ::1
[2026-04-22T10:15:42.945Z] GET /api/admin/users/search?q= | IP: ::1
[2026-04-22T10:15:43.063Z] GET /api/admin/users/search?q= | IP: ::1
[2026-04-22T10:15:48.230Z] POST /api/auth/logout | IP: ::1
[2026-04-22T10:16:16.283Z] POST /api/auth/login | IP: ::1
[2026-04-22T10:16:26.251Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:16:26.254Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:16:26.419Z] GET /api/admin/activity-logs | IP: ::1
[2026-04-22T10:16:26.452Z] GET /api/dashboard | IP: ::1
[2026-04-22T10:16:29.242Z] GET /api/admin/users/search?q= | IP: ::1
[2026-04-22T10:16:30.943Z] GET /api/admin/users/search?q= | IP: ::1
[2026-04-22T10:18:38.141Z] GET /api/admin/users/search?q= | IP: ::1
[2026-04-22T10:20:53.915Z] POST /api/auth/login | IP: ::1
[2026-04-22T10:20:54.426Z] GET /api/admin/users/search?q= | IP: ::1
[2026-04-22T10:21:18.868Z] POST /api/auth/login | IP: ::1
[2026-04-22T10:21:19.183Z] GET /api/admin/users/search | IP: ::1
[2026-04-22T10:21:59.965Z] POST /api/auth/login | IP: ::1
[2026-04-22T10:22:00.317Z] GET /api/admin/users/search?q= | IP: ::1
[2026-04-22T10:22:37.850Z] POST /api/auth/login | IP: ::1
